+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for finland collected on :2020-05-13                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-01-01 |          0.0           |            0            |        0        |        0         |
| 2020-01-02 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-03 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-04 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-05 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-06 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-07 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-08 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-09 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-10 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-11 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-12 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-13 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-14 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-15 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-16 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-17 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-18 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-19 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-20 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-21 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-22 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-23 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-24 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-25 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-26 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-27 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-28 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-29 |          1.0           |            0            |       1.0       |        0         |
| 2020-01-30 |          1.0           |            0            |       0.0       |        0         |
| 2020-01-31 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-01 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-02 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-03 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-04 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-05 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-06 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-07 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-08 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-09 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-10 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-11 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-12 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-13 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-14 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-15 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-16 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-17 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-18 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-19 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-20 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-21 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-22 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-23 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-24 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-25 |          2.0           |            0            |       1.0       |        0         |
| 2020-02-26 |          2.0           |            0            |       0.0       |        0         |
| 2020-02-27 |          3.0           |            0            |       1.0       |        0         |
| 2020-02-28 |          5.0           |            0            |       2.0       |        0         |
| 2020-02-29 |          6.0           |            0            |       1.0       |        0         |
| 2020-03-01 |          7.0           |            0            |       1.0       |        0         |
| 2020-03-02 |          7.0           |            0            |       0.0       |        0         |
| 2020-03-03 |          11.0          |            0            |       4.0       |        0         |
| 2020-03-04 |          16.0          |            0            |       5.0       |        0         |
| 2020-03-05 |          17.0          |            0            |       1.0       |        0         |
| 2020-03-06 |          23.0          |            0            |       6.0       |        0         |
| 2020-03-07 |          30.0          |            0            |       7.0       |        0         |
| 2020-03-08 |          39.0          |            0            |       9.0       |        0         |
| 2020-03-09 |          55.0          |            0            |       16.0      |        0         |
| 2020-03-10 |         109.0          |            0            |       54.0      |        0         |
| 2020-03-11 |         182.0          |            0            |       73.0      |        0         |
| 2020-03-12 |         239.0          |            0            |       57.0      |        0         |
| 2020-03-13 |         267.0          |            0            |       28.0      |        0         |
| 2020-03-14 |         293.0          |            0            |       26.0      |        0         |
| 2020-03-15 |         340.0          |            0            |       47.0      |        0         |
| 2020-03-16 |         387.0          |            0            |       47.0      |        0         |
| 2020-03-17 |         429.0          |            0            |       42.0      |        0         |
| 2020-03-18 |         515.0          |            0            |       86.0      |        0         |
